Wavelength			Norm       min_error       max_error	  Taustar   min_error max_error		Ro     min_error   max_error	  Chi-squared	  N
5.039	        4.27E-05 0.60E-05 0.66E-05 	2.22E-06 0.82E-07 0.24		1.59 0.20 0.37	33.52	220
6.182          1.12E-05   0.22E-05        0.25E-05	    0.81      0.66      1.41		    1.59   0.31        0.54	        28.31	         136
6.648		1.55E-04 0.07E-04 0.07E-04 	0.68 0.26 0.34		1.64 0.10 0.12	119.84	292
7.85	          1.33E-05   0.31E-05        0.33E-05	    1.15      1.12      22.38		    2.33   0.71        1.84	        30.27	         124
8.421	        4.01E-05   0.38E-05        0.47E-05	    1.84      0.26      0.35		    1.01   0.01        0.15	        61.58	         196
9.169		2.21E-04 0.13E-04 0.13E-04	0.88 0.35 0.44		1.82 0.15 0.18	133.77	400																									
9.708          5.28E-06   3.08E-06        3.60E-06	    0.54      0.53      0.96		    1.08   0.08        0.21	        39.79	         220
10.239		      3.47E-05   0.70E-05        0.75E-05	    1.13      0.61      0.85	      1.32   0.17        0.22	        49.21	         244
11.544		      6.71E-05   1.17E-05        1.27E-05	    0.91      0.65      1.58	      1.92   0.36        0.64	        33.8	         244
12.134		      2.41E-04   0.25E-04        0.26E-04	    3.32      0.73      1.31        1.01   0.01        0.66	        41.88	         184
15.014		      5.87E-04   0.76E-04        0.82E-04	    1.16      0.65      1.06        1.82   0.33        0.45  	      22.49	         316
16.78		      2.84E-04   0.75E-04        0.88E-04	    5.63      3.06      15.42	      1.69   0.69        4.56 	      82.09	         316
