Wavelength 	Norm	     min_error     max_error	Taustar	 min_error     max_error		  Ro	     min_error     max_error	Chi-squared	  N
5.039	    	4.05E-05   0.52E-05      0.56E-05	  0.23     0.23          0.87		        1.64        0.23          0.44	     43.92	    220
6.182	  	 1.11E-05	   0.19E-05      0.21E-05	  1.72	   0.2	         0          		1.01		    0.01          0.38	      30.07	        136
6.648	    	1.56E-04   0.06E-04      0.07E-04	  0.54     0.18          0.22		        1.52        0.07          0.07	       157.82	292
7.85		   1.67E-05	   0.27E-05      0.29E-05	  0.59	   0.5           1.45		        1.78		    0.29          0.49	      44.23	        124
8.421		   4.17E-05	   0.37E-05      0.39E-05	  0.84	   0.39          0.58		        1.50		    0.14          0.15	      57.96	        196
9.169		   2.45E-04    0.12E-04      0.12E-04	  0.93     0.28          0.33		        1.75        0.12          0.13	             126.69	400
9.708		  1.22E-05   0.39E-05      0.43E-05	  0.12     0.11          2.57	          1.64        0.25          0.69	       38.99	220
10.239		  3.59E-05   0.64E-05      0.69E-05	  2.75     1.11          1.74		        1.49        0.49          0.73	          51.36	244
11.544		   7.28E-05	 1.08E-05      1.16E-05	  2.09	   1.37          3.39		        2.22		     0.73         1.11	      40.67	        244
12.134		   2.51E-04	 0.22E-04      0.25E-04	  2.80	   0.5           0.5		        1.02		     0.02         0.57          42.67	        184
15.014		   5.26E-04	 0.59E-04      0.63E-04	  3.18	   1.61          3.04		        2.45		    1.44          2.32	      33.34	        316
