wavelength	taustar	t_lower_error	t_upper_error	Ro	Ro_lower_error	Ro_upper_error	norm		norm_lower_error	norm_upper_error
5.039 		2.56e-05	3.6e-06 		2.4e-06 0.01 	0.01 		0.36 		1.41 	0.11 		0.15 		 
6.182 		7.68e-06	1.4e-06 		1.08e-06 0.49 	0.35 		0.61 		1.46 	0.14 		0.19
6.648 		0.000112	4e-06 			4e-06  0.42 	0.13 		0.14 		1.5 	0.04 		0.06
7.85 	 1.33e-05 	1.3e-06 		1.7e-06 	0.65 	0.32 		0.19 		1.33 	0.14 		0.12
8.421 		2.95e-05 	2.4e-06 		2.4e-06  1.22 	0.45 		0.53 		1.34 	0.21 		0.17
9.169 		0.000178 	5e-06 			0.08e-4 0.92 	0.16		0.19 		1.55 	0.06 		0.06
9.708 		9.45e-06 	1.45e-06 		1.55e-06  0.62 	0.52 		1.07 		1.48 	0.19 		0.27
10.239 		2.99e-05 	2.9e-06 		3.1e-06  1.95	0.87 		0.28 		1.01 	0.0 		0.45
11.544 			5e-05 		5e-06 			4e-06 0.83 	0.44 		0.65 		2.08 	0.36 		0.55
12.134 			0.000269 	7e-06 			1.1e-05  2.03 	0.28 		0.24 		1.47 	0.1 		0.12
15.014 		0.000524 	1.6e-05 		2.5e-05  1.94 	0.33 		0.32 		1.55 	0.12 		0.13
16.78 		0.000231 	1.2e-05 		1.9e-05  2.86 	0.71 		0.38 		1.01 	0.0 		0.61
18.969 		0.00037 	2.6e-05 		2.8e-05 3.02 	0.57 		0.52 		1.18 	0.17 		0.4
20.91 		0.000148 	1.9e-05 		2.3e-05	4.26 	1.71 		2.28 		1.88 	0.87 		0.87
21.602 	0.000599 	4.72e-5			4.94e-5	1.62 	0.79 		1.33 		2.53 	0.5 		0.85
